id,name,generation,types,height_dm,weight_hg,base_experience,hp,attack,defense,special_attack,special_defense,speed,total_stats,abilities,hidden_ability,species_color,species_shape,habitat,growth_rate,capture_rate,base_happiness,hatch_counter,is_baby,is_legendary,is_mythical,has_gender_differences,gender_rate,forms_switchable,evolution_chain_id,evolves_from,flavor_text_en,sprite_url
13,weedle,1,"bug,poison",3,32,39,40,35,30,20,20,50,195,shield-dust,run-away,brown,armor,forest,medium,255,70,15,False,False,False,False,4,False,5,,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,kakuna,1,"bug,poison",6,100,72,45,25,50,25,25,35,205,shed-skin,,yellow,squiggle,forest,medium,120,70,15,False,False,False,False,4,False,5,weedle,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,beedrill,1,"bug,poison",10,295,178,65,90,40,45,80,75,395,swarm,sniper,yellow,bug-wings,forest,medium,45,70,15,False,False,False,False,4,True,5,kakuna,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
16,pidgey,1,"normal,flying",3,18,50,40,45,40,35,35,56,251,"keen-eye,tangled-feet",big-pecks,brown,wings,forest,medium-slow,255,70,15,False,False,False,False,4,False,6,,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,pidgeotto,1,"normal,flying",11,300,122,63,60,55,50,50,71,349,"keen-eye,tangled-feet",big-pecks,brown,wings,forest,medium-slow,120,70,15,False,False,False,False,4,False,6,pidgey,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,pidgeot,1,"normal,flying",15,395,216,83,80,75,70,70,101,479,"keen-eye,tangled-feet",big-pecks,brown,wings,forest,medium-slow,45,70,15,False,False,False,False,4,True,6,pidgeotto,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,rattata,1,normal,3,35,51,30,56,35,25,35,72,253,"run-away,guts",hustle,purple,quadruped,grassland,medium,255,70,15,False,False,False,True,4,False,7,,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
20,raticate,1,normal,7,185,145,55,81,60,50,70,97,413,"run-away,guts",hustle,brown,quadruped,grassland,medium,127,70,15,False,False,False,True,4,False,7,rattata,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,spearow,1,"normal,flying",3,20,52,40,60,30,31,31,70,262,keen-eye,sniper,brown,wings,rough-terrain,medium,255,70,15,False,False,False,False,4,False,8,,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,fearow,1,"normal,flying",12,380,155,65,90,65,61,61,100,442,keen-eye,sniper,brown,wings,rough-terrain,medium,90,70,15,False,False,False,False,4,False,8,spearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,ekans,1,poison,20,69,58,35,60,44,40,54,55,288,"intimidate,shed-skin",unnerve,purple,squiggle,grassland,medium,255,70,20,False,False,False,False,4,False,9,,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
24,arbok,1,poison,35,650,157,60,95,69,65,79,80,448,"intimidate,shed-skin",unnerve,purple,squiggle,grassland,medium,90,70,20,False,False,False,False,4,False,9,ekans,It is rumored that the ferocious warning markings on its belly differ from area to area.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png
25,pikachu,1,electric,4,60,112,35,55,40,50,50,90,320,static,lightning-rod,yellow,quadruped,forest,medium,190,70,10,False,False,False,True,4,False,10,pichu,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png
26,raichu,1,electric,8,300,218,60,90,55,90,80,110,485,static,lightning-rod,yellow,upright,forest,medium,75,70,10,False,False,False,True,4,False,10,pikachu,Its long tail serves as a ground to protect itself from its own high-voltage power.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png
27,sandshrew,1,ground,6,120,60,50,75,85,20,30,40,300,sand-veil,sand-rush,yellow,upright,rough-terrain,medium,255,70,20,False,False,False,False,4,False,11,,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png
28,sandslash,1,ground,10,295,158,75,100,110,45,55,65,450,sand-veil,sand-rush,yellow,upright,rough-terrain,medium,90,70,20,False,False,False,False,4,False,11,sandshrew,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png
29,nidoran-f,1,poison,4,70,55,55,47,52,40,40,41,275,"poison-point,rivalry",hustle,blue,quadruped,grassland,medium-slow,235,70,20,False,False,False,False,8,False,12,,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png
30,nidorina,1,poison,8,200,128,70,62,67,55,55,56,365,"poison-point,rivalry",hustle,blue,quadruped,grassland,medium-slow,120,70,20,False,False,False,False,8,False,12,nidoran-f,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png
31,nidoqueen,1,"poison,ground",13,600,227,90,92,87,75,85,76,505,"poison-point,rivalry",sheer-force,blue,upright,grassland,medium-slow,45,70,20,False,False,False,False,8,False,12,nidorina,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png
32,nidoran-m,1,poison,5,90,55,46,57,40,40,40,50,273,"poison-point,rivalry",hustle,purple,quadruped,grassland,medium-slow,235,70,20,False,False,False,False,0,False,13,,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png
33,nidorino,1,poison,9,195,128,61,72,57,55,55,65,365,"poison-point,rivalry",hustle,purple,quadruped,grassland,medium-slow,120,70,20,False,False,False,False,0,False,13,nidoran-m,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png
34,nidoking,1,"poison,ground",14,620,227,81,102,77,85,75,85,505,"poison-point,rivalry",sheer-force,purple,upright,grassland,medium-slow,45,70,20,False,False,False,False,0,False,13,nidorino,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png
35,clefairy,1,fairy,6,75,113,70,45,48,60,65,35,323,"cute-charm,magic-guard",friend-guard,pink,upright,mountain,fast,150,140,10,False,False,False,False,6,False,14,cleffa,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,clefable,1,fairy,13,400,217,95,70,73,95,90,60,483,"cute-charm,magic-guard",unaware,pink,upright,mountain,fast,25,140,10,False,False,False,False,6,False,14,clefairy,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
37,vulpix,1,fire,6,99,60,38,41,40,50,65,65,299,flash-fire,drought,brown,quadruped,grassland,medium,190,70,20,False,False,False,False,6,False,15,,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,ninetales,1,fire,11,199,177,73,76,75,81,100,100,505,flash-fire,drought,yellow,quadruped,grassland,medium,75,70,20,False,False,False,False,6,False,15,vulpix,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
39,jigglypuff,1,"normal,fairy",5,55,95,115,45,20,45,25,20,270,"cute-charm,competitive",friend-guard,pink,humanoid,grassland,fast,170,70,10,False,False,False,False,6,False,16,igglybuff,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png
40,wigglytuff,1,"normal,fairy",10,120,196,140,70,45,85,50,45,435,"cute-charm,competitive",frisk,pink,humanoid,grassland,fast,50,70,10,False,False,False,False,6,False,16,jigglypuff,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png
41,zubat,1,"poison,flying",8,75,49,40,45,35,30,40,55,245,inner-focus,infiltrator,purple,wings,cave,medium,255,70,15,False,False,False,True,4,False,17,,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png
42,golbat,1,"poison,flying",16,550,159,75,80,70,65,75,90,455,inner-focus,infiltrator,purple,wings,cave,medium,90,70,15,False,False,False,True,4,False,17,zubat,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png
43,oddish,1,"grass,poison",5,54,64,45,50,55,75,65,30,320,chlorophyll,run-away,blue,legs,grassland,medium-slow,255,70,20,False,False,False,False,4,False,18,,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png
44,gloom,1,"grass,poison",8,86,138,60,65,70,85,75,40,395,chlorophyll,stench,blue,humanoid,grassland,medium-slow,120,70,20,False,False,False,True,4,False,18,oddish,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png
45,vileplume,1,"grass,poison",12,186,221,75,80,85,110,90,50,490,chlorophyll,effect-spore,red,humanoid,grassland,medium-slow,45,70,20,False,False,False,True,4,False,18,gloom,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png
46,paras,1,"bug,grass",3,54,57,35,70,55,45,55,25,285,"effect-spore,dry-skin",damp,red,armor,forest,medium,190,70,20,False,False,False,False,4,False,19,,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png
47,parasect,1,"bug,grass",10,295,142,60,95,80,60,80,30,405,"effect-spore,dry-skin",damp,red,armor,forest,medium,75,70,20,False,False,False,False,4,False,19,paras,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png
48,venonat,1,"bug,poison",10,300,61,60,55,50,40,55,45,305,"compound-eyes,tinted-lens",run-away,purple,humanoid,forest,medium,190,70,20,False,False,False,False,4,False,20,,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png
49,venomoth,1,"bug,poison",15,125,158,70,65,60,90,75,90,450,"shield-dust,tinted-lens",wonder-skin,purple,bug-wings,forest,medium,75,70,20,False,False,False,False,4,False,20,venonat,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png
50,diglett,1,ground,2,8,53,10,55,25,35,45,95,265,"sand-veil,arena-trap",sand-force,brown,blob,cave,medium,255,70,20,False,False,False,False,4,False,21,,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png
51,dugtrio,1,ground,7,333,149,35,100,50,50,70,120,425,"sand-veil,arena-trap",sand-force,brown,heads,cave,medium,50,70,20,False,False,False,False,4,False,21,diglett,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png
52,meowth,1,normal,4,42,58,40,45,35,40,40,90,290,"pickup,technician",unnerve,yellow,quadruped,urban,medium,255,70,20,False,False,False,False,4,False,22,,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png
53,persian,1,normal,10,320,154,65,70,60,65,65,115,440,"limber,technician",unnerve,yellow,quadruped,urban,medium,90,70,20,False,False,False,False,4,False,22,meowth,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png
54,psyduck,1,water,8,196,64,50,52,48,65,50,55,320,"damp,cloud-nine",swift-swim,yellow,upright,waters-edge,medium,190,70,20,False,False,False,False,4,False,23,,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png
55,golduck,1,water,17,766,175,80,82,78,95,80,85,500,"damp,cloud-nine",swift-swim,blue,upright,waters-edge,medium,75,70,20,False,False,False,False,4,False,23,psyduck,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png
56,mankey,1,fighting,5,280,61,40,80,35,35,45,70,305,"vital-spirit,anger-point",defiant,brown,upright,mountain,medium,190,70,20,False,False,False,False,4,False,24,,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png
57,primeape,1,fighting,10,320,159,65,105,60,60,70,95,455,"vital-spirit,anger-point",defiant,brown,upright,mountain,medium,75,70,20,False,False,False,False,4,False,24,mankey,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png
58,growlithe,1,fire,7,190,70,55,70,45,70,50,60,350,"intimidate,flash-fire",justified,brown,quadruped,grassland,slow,190,70,20,False,False,False,False,2,False,25,,Very protective of its territory. It will bark and bite to repel intruders from its space.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
59,arcanine,1,fire,19,1550,194,90,110,80,100,80,95,555,"intimidate,flash-fire",justified,brown,quadruped,grassland,slow,75,70,20,False,False,False,False,2,False,25,growlithe,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
60,poliwag,1,water,6,124,60,40,50,40,40,40,90,300,"water-absorb,damp",swift-swim,blue,legs,waters-edge,medium-slow,255,70,20,False,False,False,False,4,False,26,,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png
61,poliwhirl,1,water,10,200,135,65,65,65,50,50,90,385,"water-absorb,damp",swift-swim,blue,humanoid,waters-edge,medium-slow,120,70,20,False,False,False,False,4,False,26,poliwag,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png
62,poliwrath,1,"water,fighting",13,540,230,90,95,95,70,90,70,510,"water-absorb,damp",swift-swim,blue,humanoid,waters-edge,medium-slow,45,70,20,False,False,False,False,4,False,26,poliwhirl,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png
63,abra,1,psychic,9,195,62,25,20,15,105,55,90,310,"synchronize,inner-focus",magic-guard,brown,upright,urban,medium-slow,200,70,20,False,False,False,False,2,False,27,,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png
64,kadabra,1,psychic,13,565,140,40,35,30,120,70,105,400,"synchronize,inner-focus",magic-guard,brown,upright,urban,medium-slow,100,70,20,False,False,False,True,2,False,27,abra,It emits special alpha waves from its body that induce headaches just by being close by.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png
65,alakazam,1,psychic,15,480,225,55,50,45,135,95,120,500,"synchronize,inner-focus",magic-guard,brown,humanoid,urban,medium-slow,50,70,20,False,False,False,True,2,True,27,kadabra,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png
66,machop,1,fighting,8,195,61,70,80,50,35,35,35,305,"guts,no-guard",steadfast,gray,upright,mountain,medium-slow,180,70,20,False,False,False,False,2,False,28,,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png
67,machoke,1,fighting,15,705,142,80,100,70,50,60,45,405,"guts,no-guard",steadfast,gray,humanoid,mountain,medium-slow,90,70,20,False,False,False,False,2,False,28,machop,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png
68,machamp,1,fighting,16,1300,227,90,130,80,65,85,55,505,"guts,no-guard",steadfast,gray,humanoid,mountain,medium-slow,45,70,20,False,False,False,False,2,False,28,machoke,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png
69,bellsprout,1,"grass,poison",7,40,60,50,75,35,70,30,40,300,chlorophyll,gluttony,green,humanoid,forest,medium-slow,255,70,20,False,False,False,False,4,False,29,,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png
70,weepinbell,1,"grass,poison",10,64,137,65,90,50,85,45,55,390,chlorophyll,gluttony,green,blob,forest,medium-slow,120,70,20,False,False,False,False,4,False,29,bellsprout,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png
71,victreebel,1,"grass,poison",17,155,221,80,105,65,100,70,70,490,chlorophyll,gluttony,green,blob,forest,medium-slow,45,70,20,False,False,False,False,4,False,29,weepinbell,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png
72,tentacool,1,"water,poison",9,455,67,40,40,35,50,100,70,335,"clear-body,liquid-ooze",rain-dish,blue,tentacles,sea,slow,190,70,20,False,False,False,False,4,False,30,,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png
73,tentacruel,1,"water,poison",16,550,180,80,70,65,80,120,100,515,"clear-body,liquid-ooze",rain-dish,blue,tentacles,sea,slow,60,70,20,False,False,False,False,4,False,30,tentacool,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png
74,geodude,1,"rock,ground",4,200,60,40,80,100,30,30,20,300,"rock-head,sturdy",sand-veil,brown,arms,mountain,medium-slow,255,70,15,False,False,False,False,4,False,31,,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png
75,graveler,1,"rock,ground",10,1050,137,55,95,115,45,45,35,390,"rock-head,sturdy",sand-veil,brown,humanoid,mountain,medium-slow,120,70,15,False,False,False,False,4,False,31,geodude,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png
76,golem,1,"rock,ground",14,3000,223,80,120,130,55,65,45,495,"rock-head,sturdy",sand-veil,brown,humanoid,mountain,medium-slow,45,70,15,False,False,False,False,4,False,31,graveler,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png
77,ponyta,1,fire,10,300,82,50,85,55,65,65,90,410,"run-away,flash-fire",flame-body,yellow,quadruped,grassland,medium,190,70,20,False,False,False,False,4,False,32,,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png
78,rapidash,1,fire,17,950,175,65,100,70,80,80,105,500,"run-away,flash-fire",flame-body,yellow,quadruped,grassland,medium,60,70,20,False,False,False,False,4,False,32,ponyta,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png
79,slowpoke,1,"water,psychic",12,360,63,90,65,65,40,40,15,315,"oblivious,own-tempo",regenerator,pink,quadruped,waters-edge,medium,190,70,20,False,False,False,False,4,False,33,,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png
80,slowbro,1,"water,psychic",16,785,172,95,75,110,100,80,30,490,"oblivious,own-tempo",regenerator,pink,upright,waters-edge,medium,75,70,20,False,False,False,False,4,True,33,slowpoke,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png
